Accuracy 98.4% on test set
Notice that Devnagari has 68,757 instances with 111 output classes while
Telugu has only 45,217 instances and significantly more output classes.  This
can explain the differences in their results for this architecture.
Tamil has 101,275 instances.  So more data to train on.

Printing confusion matrix..
Instance 136 in val 1 wrong: actual 108 predicted 53
Instance 161 in val 1 wrong: actual 98 predicted 43
Instance 21 in val 201 wrong: actual 22 predicted 45
Instance 101 in val 201 wrong: actual 17 predicted 67
Instance 168 in val 201 wrong: actual 106 predicted 43
Instance 59 in val 601 wrong: actual 69 predicted 80
Instance 40 in val 801 wrong: actual 37 predicted 91
Instance 52 in val 801 wrong: actual 92 predicted 67
Instance 72 in val 801 wrong: actual 42 predicted 21
Instance 106 in val 801 wrong: actual 45 predicted 46
Instance 109 in val 801 wrong: actual 80 predicted 14
Instance 139 in val 801 wrong: actual 44 predicted 91
Instance 157 in val 801 wrong: actual 4 predicted 98
Instance 42 in val 1001 wrong: actual 99 predicted 101
Instance 64 in val 1001 wrong: actual 37 predicted 83
Instance 125 in val 1001 wrong: actual 52 predicted 23
Instance 140 in val 1001 wrong: actual 45 predicted 102
Instance 160 in val 1001 wrong: actual 63 predicted 47
Instance 143 in val 1201 wrong: actual 100 predicted 67
Instance 171 in val 1201 wrong: actual 95 predicted 108
Instance 28 in val 1401 wrong: actual 9 predicted 91
Instance 47 in val 1401 wrong: actual 57 predicted 62
Instance 78 in val 1401 wrong: actual 51 predicted 108
Instance 88 in val 1401 wrong: actual 61 predicted 51
Instance 110 in val 1401 wrong: actual 33 predicted 27
Instance 144 in val 1401 wrong: actual 53 predicted 61
Instance 165 in val 1401 wrong: actual 15 predicted 107
Instance 36 in val 1601 wrong: actual 90 predicted 51
Instance 154 in val 1601 wrong: actual 102 predicted 33
Instance 182 in val 1601 wrong: actual 65 predicted 14
Instance 158 in val 1801 wrong: actual 63 predicted 84
Instance 120 in val 2001 wrong: actual 4 predicted 89
Instance 147 in val 2001 wrong: actual 93 predicted 107
Instance 163 in val 2001 wrong: actual 7 predicted 17
Instance 172 in val 2001 wrong: actual 62 predicted 57
Instance 17 in val 2201 wrong: actual 90 predicted 51
Instance 66 in val 2201 wrong: actual 43 predicted 4
Instance 134 in val 2201 wrong: actual 78 predicted 67
Instance 156 in val 2201 wrong: actual 37 predicted 83
Instance 165 in val 2201 wrong: actual 30 predicted 100
Instance 149 in val 2401 wrong: actual 44 predicted 72
Instance 175 in val 2401 wrong: actual 109 predicted 53
Instance 15 in val 2601 wrong: actual 46 predicted 4
Instance 183 in val 2601 wrong: actual 93 predicted 89
Instance 186 in val 2601 wrong: actual 99 predicted 101
Instance 5 in val 2801 wrong: actual 15 predicted 107
Instance 20 in val 2801 wrong: actual 44 predicted 91
Instance 32 in val 2801 wrong: actual 4 predicted 89
Instance 74 in val 2801 wrong: actual 30 predicted 28
Instance 192 in val 2801 wrong: actual 9 predicted 32
Instance 75 in val 3001 wrong: actual 32 predicted 36
Instance 76 in val 3001 wrong: actual 57 predicted 62
Instance 149 in val 3001 wrong: actual 47 predicted 63
Instance 161 in val 3001 wrong: actual 53 predicted 61
Instance 59 in val 3201 wrong: actual 9 predicted 91
Instance 5 in val 3401 wrong: actual 92 predicted 67
Instance 33 in val 3401 wrong: actual 109 predicted 53
Instance 136 in val 3401 wrong: actual 12 predicted 11
Instance 96 in val 3601 wrong: actual 80 predicted 81
Instance 143 in val 3601 wrong: actual 1 predicted 108
Instance 161 in val 3601 wrong: actual 24 predicted 66
Instance 171 in val 3601 wrong: actual 80 predicted 90
Instance 21 in val 3801 wrong: actual 49 predicted 109
Instance 91 in val 4001 wrong: actual 17 predicted 67
Instance 160 in val 4001 wrong: actual 90 predicted 51
Instance 178 in val 4001 wrong: actual 9 predicted 32
Instance 26 in val 4201 wrong: actual 95 predicted 108
Instance 119 in val 4201 wrong: actual 57 predicted 62
Instance 38 in val 4401 wrong: actual 30 predicted 100
Instance 142 in val 4401 wrong: actual 31 predicted 66
Instance 150 in val 4401 wrong: actual 22 predicted 45
Instance 156 in val 4401 wrong: actual 93 predicted 89
Instance 23 in val 4601 wrong: actual 63 predicted 47
Instance 27 in val 4601 wrong: actual 9 predicted 91
Instance 75 in val 4601 wrong: actual 106 predicted 70
Instance 157 in val 4601 wrong: actual 5 predicted 12
Instance 12 in val 4801 wrong: actual 51 predicted 108
Instance 51 in val 4801 wrong: actual 16 predicted 100
Instance 60 in val 4801 wrong: actual 13 predicted 64
Instance 147 in val 4801 wrong: actual 102 predicted 33
Instance 187 in val 4801 wrong: actual 61 predicted 51
Instance 4 in val 5001 wrong: actual 76 predicted 82
Instance 25 in val 5001 wrong: actual 83 predicted 75
Instance 107 in val 5001 wrong: actual 99 predicted 17
Instance 155 in val 5001 wrong: actual 64 predicted 39
Instance 163 in val 5001 wrong: actual 9 predicted 91
Instance 40 in val 5201 wrong: actual 14 predicted 19
